_id,Date,Rain,Temp Max,Temp Min
226,14-08-1951,0,33.11000061,25.70999908
227,15-08-1951,13.06094646,34.13999939,26.12999916
228,16-08-1951,12.23655319,33.45000076,25.76000023
229,17-08-1951,51.82481003,30.43000031,25.36000061
230,18-08-1951,2.509101391,33.77999878,26.35000038
231,19-08-1951,14.99324799,33.65000153,26.35000038
232,20-08-1951,0,34.91999817,27.30999947
233,21-08-1951,0,34.56000137,26.76000023
234,22-08-1951,1.441888928,31.42000008,25.09000015
235,23-08-1951,0.16655001,31.85000038,25.18000031
236,24-08-1951,0,34.04000092,25.92000008
237,25-08-1951,0,34.90999985,25.70000076
238,26-08-1951,0,35.29999924,25.62000084
239,27-08-1951,0,35.59000015,24.82999992
240,28-08-1951,0,35.72000122,24.54000092
241,29-08-1951,0,36.40000153,24.63999939
242,30-08-1951,0,37.63999939,25.03000069
243,31-08-1951,0,37.15000153,25.17000008
244,01-09-1951,0,37.59999847,24.96999931
245,02-09-1951,0,34.65999985,24.80999947
246,03-09-1951,0,35.36000061,25.52000046
247,04-09-1951,0,34.22999954,25.70000076
248,05-09-1951,0,37.47000122,25.48999977
249,06-09-1951,0,38.34999847,26.01000023
250,07-09-1951,0,35.90999985,24.36000061
251,08-09-1951,4.004253864,33.04000092,24.42000008
252,09-09-1951,1.95460701,30.72999954,24.47999954
253,10-09-1951,3.670738459,30.85000038,24.54999924
254,11-09-1951,0.474415153,33.41999817,23.63999939
255,12-09-1951,9.1644907,32.22000122,24.31999969
256,13-09-1951,20.73757935,30.59000015,23.75
257,14-09-1951,39.72914505,28.12000084,22.56999969
258,15-09-1951,0,31.62000084,23.21999931
259,16-09-1951,0,33.77000046,24.09000015
260,17-09-1951,0,34.58000183,25.29000092
261,18-09-1951,0,34.56000137,24.32999992
262,19-09-1951,0,34.72999954,23.03000069
263,20-09-1951,0,35.08000183,23.61000061
264,21-09-1951,0,35.41999817,23.96999931
265,22-09-1951,0,36.11999893,25.06999969
266,23-09-1951,0,36.83000183,24.93000031
267,24-09-1951,0,36.83000183,23.80999947
268,25-09-1951,0,37.5,23.22999954
269,26-09-1951,2.931169748,36.65000153,21.46999931
270,27-09-1951,0,35.79999924,23.07999992
271,28-09-1951,0,35.93999863,24.01000023
272,29-09-1951,0,35.97000122,23.85000038
273,30-09-1951,0,36.08000183,23.95999908
274,01-10-1951,0,36.04000092,24.04000092
275,02-10-1951,0,36.04999924,23.60000038
276,03-10-1951,0,35.13000107,22.69000053
277,04-10-1951,0,35.59000015,22.12000084
278,05-10-1951,0,36.65000153,22.52000046
279,06-10-1951,0,37.20999908,23.54999924
280,07-10-1951,0,36.90000153,24.07999992
281,08-10-1951,0,36.97000122,24.25
282,09-10-1951,0,34.29999924,23.48999977
283,10-10-1951,0,36.04000092,22.17000008
284,11-10-1951,0,37.02999878,23.19000053
285,12-10-1951,0,36.04000092,22.21999931
286,13-10-1951,0,36.22999954,22.59000015
287,14-10-1951,0,36.47000122,23.04000092
288,15-10-1951,0,36.41999817,23.21999931
289,16-10-1951,0,37.16999817,21.64999962
290,17-10-1951,0,37.38999939,21.03000069
291,18-10-1951,0,38.13999939,20.80999947
292,19-10-1951,0,37.97999954,20.54000092
293,20-10-1951,0,37.54999924,19.87000084
294,21-10-1951,0,35.88000107,19.38999939
295,22-10-1951,0,35.49000168,18.45999908
296,23-10-1951,0,35.66999817,19.30999947
297,24-10-1951,0,35.29999924,19.14999962
298,25-10-1951,0,35.11000061,19.07999992
299,26-10-1951,0,35.22999954,19.71999931
300,27-10-1951,0,34.20999908,19.26000023
301,28-10-1951,0,34.49000168,20.37999916
302,29-10-1951,0,34.36999893,19.94000053
303,30-10-1951,0,35.25999832,17.55999947
304,31-10-1951,0,32.93000031,16.11000061
305,01-11-1951,0,32.56999969,16.01000023
306,02-11-1951,0,33.02999878,15.47000027
307,03-11-1951,0,32.27000046,15.42000008
308,04-11-1951,0,32.54000092,15.22000027
309,05-11-1951,0,32.70999908,15.27000046
310,06-11-1951,0,31.98999977,15.39999962
311,07-11-1951,0,31.47999954,14.57999992
312,08-11-1951,0,30.77000046,13.85999966
313,09-11-1951,0,31.67000008,13.97000027
314,10-11-1951,0,31.85000038,13.67000008
315,11-11-1951,0,32.56999969,14.03999996
316,12-11-1951,0,32.00999832,14.51000023
317,13-11-1951,0,32.43999863,13.35999966
318,14-11-1951,0,32.00999832,13
319,15-11-1951,0,31.04000092,12.92000008
320,16-11-1951,0,30.04000092,13.5
321,17-11-1951,0,28.21999931,14.35000038
322,18-11-1951,0,27.27000046,14.06000042
323,19-11-1951,0,28.44000053,10.56000042
324,20-11-1951,0,28.06999969,9.949999809
325,21-11-1951,0,28.40999985,9.350000381
326,22-11-1951,0,29.53000069,10.72000027
327,23-11-1951,0,30.53000069,13.30000019
328,24-11-1951,0,30.02000046,15.75
329,25-11-1951,27.03907204,25.88999939,15.39999962
330,26-11-1951,28.74767685,22.89999962,12.85000038
331,27-11-1951,0,22.86000061,11.42000008
332,28-11-1951,0,22.95000076,10.03999996
333,29-11-1951,0,23.81999969,11
